trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,0,-133.1432212053269,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.001, 'e': 1.0}",20,0,-129.31522066859193,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.001, 'e': 1.0}",30,0,-151.5919849540818,"{0: 16, 1: 2, 2: 8, 3: 4, 4: 0}",0
4,False,"{'a': 0.001, 'e': 1.0}",20,0,-174.5178382232804,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.001, 'e': 1.0}",30,0,-202.52327563409256,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.001, 'e': 1.0}",20,0,-123.8791491291295,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.001, 'e': 1.0}",20,0,-80.04965466830681,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.001, 'e': 1.0}",25,0,-110.52526312017348,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.001, 'e': 1.0}",25,6,-52.826268724677085,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.001, 'e': 1.0}",20,0,-72.2811153814321,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.001, 'e': 1.0}",25,0,-83.81892426946114,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.001, 'e': 1.0}",25,9,-95.22238883074868,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.001, 'e': 1.0}",20,3,-122.15717948549184,"{0: 6, 1: 2, 2: 8, 3: 0, 4: 1}",1
14,False,"{'a': 0.001, 'e': 1.0}",20,0,-82.52615082524258,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.001, 'e': 1.0}",25,0,-27.151147304758105,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.001, 'e': 1.0}",35,0,-193.05333773381813,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
17,False,"{'a': 0.001, 'e': 1.0}",20,3,-39.9603676827887,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.001, 'e': 1.0}",30,0,-152.33565742362356,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.001, 'e': 1.0}",20,0,-154.54099024143983,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.001, 'e': 1.0}",20,0,-26.571367809304103,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.001, 'e': 1.0}",25,0,-116.27380963380428,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.001, 'e': 1.0}",20,0,-180.1396580439868,"{0: 8, 1: 4, 2: 3, 3: 3, 4: 2}",0
