trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-32.968223070612055,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-48.62034172647307,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-121.14877969296761,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-112.5650182296406,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-155.35839288472505,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-150.40394737438936,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-291.9824734782791,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-58.79854473578355,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-221.62358158039328,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-111.94695753799121,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,5,-121.4473300949341,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-119.58075893885648,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,12,-24.945976364595175,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-179.43620528406268,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-68.9127907896404,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-74.71861858285348,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-109.66817852285904,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-106.9628754118784,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-45.111931477654934,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-113.42724716549675,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-191.45888918501143,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-187.701618373968,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,2,-42.38670346017579,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,1,-38.38457625322578,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-156.91900413534472,"{0: 16, 1: 0, 2: 12, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-102.19449064208855,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-122.22295163068608,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-110.84926655710639,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-137.39290009591713,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-122.56225256162843,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
